Name,Ticker,Asset_Type,Price,Date,Time
Commonwealth Bank of Australia,CBA.AX,Stock,144.45158702477175,2026-08-14,12:31:11
NetEase,NTES,Stock,108.11618809148906,2026-08-14,12:31:11
Alphabet Class A,GOOGL,Stock,298.8921673595378,2026-08-14,12:31:11
Starbucks,SBUX,Stock,93.0549257028853,2026-08-14,12:31:11
ASML Holding,ASML,Stock,1593.4693974421282,2026-08-14,12:31:11
Meta Platforms,META,Stock,509.68933428952914,2026-08-14,12:31:11
Novo Nordisk,NVO,Stock,39.65354616862078,2026-08-14,12:31:11
Amazon,AMZN,Stock,226.95584653922563,2026-08-14,12:31:11
American Tower,AMT,Stock,151.71867076696395,2026-08-14,12:31:11
Taiwan Semiconductor Manufacturing,TSM,Stock,368.40901886852316,2026-08-14,12:31:11
Bank of Nova Scotia,BNS,Stock,79.09971019520775,2026-08-14,12:31:11
Nvidia,NVDA,Stock,194.5607478599419,2026-08-14,12:31:11
Microsoft,MSFT,Stock,428.07510985367196,2026-08-14,12:31:11
Alibaba,BABA,Stock,106.98421267431912,2026-08-14,12:31:11
JD.com,JD,Stock,25.1107440795211,2026-08-14,12:31:11
Apple,AAPL,Stock,264.3540913114805,2026-08-14,12:31:11
Baidu,BIDU,Stock,89.58124021288198,2026-08-14,12:31:11
AstraZeneca,AZN,Stock,135.1884345081755,2026-08-14,12:31:11
Pinduoduo,PDD,Stock,73.26703553410135,2026-08-14,12:31:11
BlackRock,BLK,Stock,1014.220017194219,2026-08-14,12:31:11
Tencent,TCEHY,Stock,48.82164716333499,2026-08-14,12:31:11
S&P Global,SPGI,Stock,361.88504842543927,2026-08-14,12:31:11
Tesla,TSLA,Stock,295.7554803225492,2026-08-14,12:31:11
Unilever,UL,Stock,53.651966014532064,2026-08-14,12:31:11
Shell,SHEL,Stock,78.17512351263103,2026-08-14,12:31:11
SAP,SAP,Stock,179.70686761337194,2026-08-14,12:31:11
Union Pacific,UNP,Stock,253.76886692650965,2026-08-14,12:31:11
Lowe's,LOW,Stock,188.7799170862041,2026-08-14,12:31:11
Cisco Systems,CSCO,Stock,96.50268265664488,2026-08-14,12:31:11
Nestlé,NESN.SW,Stock,70.00073877869129,2026-08-14,12:31:11
Mastercard,MA,Stock,491.923441431393,2026-08-14,12:31:11
Bristol-Myers Squibb,BMY,Stock,55.15550137753589,2026-08-14,12:31:11
Walmart,WMT,Stock,99.60479831197516,2026-08-14,12:31:11
Rio Tinto,RIO,Stock,82.67708345994825,2026-08-14,12:31:11
Sumitomo Mitsui Financial Group,SMFG,Stock,22.743110414863583,2026-08-14,12:31:11
Visa,V,Stock,314.66199144326987,2026-08-14,12:31:11
Procter & Gamble,PG,Stock,124.90565037967991,2026-08-14,12:31:11
Danaher,DHR,Stock,174.9370321986783,2026-08-14,12:31:11
JPMorgan Chase,JPM,Stock,313.53002261865936,2026-08-14,12:31:11
HSBC,HSBC,Stock,89.6849345801786,2026-08-14,12:31:11
Berkshire Hathaway,BRK-B,Stock,435.53229663962827,2026-08-14,12:31:11
PepsiCo,PEP,Stock,121.65662612998014,2026-08-14,12:31:11
Costco,COST,Stock,830.4864406503807,2026-08-14,12:31:11
Nintendo,NTDOY,Stock,12.088758099834836,2026-08-14,12:31:11
Home Depot,HD,Stock,292.80889632932474,2026-08-14,12:31:11
BP,BP,Stock,36.75016980990973,2026-08-14,12:31:11
Coca-Cola,KO,Stock,75.79020580528423,2026-08-14,12:31:11
Intuit,INTU,Stock,298.6847918100634,2026-08-14,12:31:11
BHP Group,BHP,Stock,74.98659258827385,2026-08-14,12:31:11
Abbott Laboratories,ABT,Stock,96.13111941453128,2026-08-14,12:31:11
Toyota,TM,Stock,165.1381419324481,2026-08-14,12:31:11
American Express,AXP,Stock,295.936960298577,2026-08-14,12:31:11
Eli Lilly,LLY,Stock,1019.7762262830099,2026-08-14,12:31:11
UnitedHealth Group,UNH,Stock,347.13488232384424,2026-08-14,12:31:11
Johnson & Johnson,JNJ,Stock,224.96842720279557,2026-08-14,12:31:11
Sony Group,SONY,Stock,20.98898857159221,2026-08-14,12:31:11
Iberdrola,IBE.MC,Stock,17.454819645085443,2026-08-14,12:31:11
Bank of America,BAC,Stock,55.725803916268724,2026-08-14,12:31:11
Morgan Stanley,MS,Stock,187.8207656145285,2026-08-14,12:31:11
Goldman Sachs,GS,Stock,898.1628077875432,2026-08-14,12:31:11
Merck,MRK,Stock,117.37933401552588,2026-08-14,12:31:11
Pfizer,PFE,Stock,23.14923844607606,2026-08-14,12:31:11
Wells Fargo,WFC,Stock,76.74935727695981,2026-08-14,12:31:11
Deutsche Telekom,DTE.DE,Stock,24.773745626506376,2026-08-14,12:31:11
Mitsubishi UFJ Financial Group,MUFG,Stock,19.92614438075986,2026-08-14,12:31:11
Thermo Fisher Scientific,TMO,Stock,508.3413404774702,2026-08-14,12:31:11
AbbVie,ABBV,Stock,215.55837927694867,2026-08-14,12:31:11
Broadcom,AVGO,Stock,339.58263083088707,2026-08-14,12:31:11
McDonald's,MCD,Stock,235.75237769926682,2026-08-14,12:31:11
Nike,NKE,Stock,35.1947905595373,2026-08-14,12:31:11
Royal Bank of Canada,RY,Stock,187.1294830176699,2026-08-14,12:31:11
General Electric,GE,Stock,318.31714372418213,2026-08-14,12:31:11
Lockheed Martin,LMT,Stock,525.9603511114747,2026-08-14,12:31:11
